Number of learning samples: 46
Number of validation samples: 6
Number of testing samples: 7
Learning results:
  Accuracy, F1 score, Precision, Recall
0.7750913500785828, 0.49965140223503113, 0.7114372253417969, 
0.8205930590629578, 0.5890910625457764, 0.6662493944168091, 
0.8037752509117126, 0.5460720062255859, 0.7506803274154663, 
0.8252790570259094, 0.5927567481994629, 0.7105404138565063, 
0.8030263781547546, 0.5425868630409241, 0.7856991291046143, 
0.7886476516723633, 0.5186256170272827, 0.8261783123016357, 
0.8001217246055603, 0.536421537399292, 0.8130587935447693, 
0.8278802037239075, 0.5932698249816895, 0.7440624237060547, 
0.8054194450378418, 0.5446579456329346, 0.817070484161377, 
0.8169151544570923, 0.56578129529953, 0.7962367534637451, 


Validation results:
  Accuracy, F1 score, Precision, Recall
0.7677454352378845, 0.5513453483581543, 0.7509969472885132, 
0.8122376203536987, 0.6396555304527283, 0.6976791024208069, 
0.7986640334129333, 0.6007497906684875, 0.7584061026573181, 
0.8159635663032532, 0.6420523524284363, 0.7196606397628784, 
0.8016002774238586, 0.6014990210533142, 0.7859667539596558, 
0.7885618209838867, 0.5765604376792908, 0.8169679641723633, 
0.7995904684066772, 0.5961527824401855, 0.7992202639579773, 
0.8197441697120667, 0.649641752243042, 0.7216280102729797, 
0.8020501136779785, 0.5999397039413452, 0.8011611700057983, 
0.8102304935455322, 0.6203010678291321, 0.7662540674209595, 


Testing results:
  Accuracy, F1 score, Precision, Recall
0.7443839311599731, 0.48781049251556396, 0.7504224181175232, 
0.7993029952049255, 0.5777093172073364, 0.6891684532165527, 
0.779556930065155, 0.5364078283309937, 0.775398313999176, 
0.8054983019828796, 0.5861198902130127, 0.7164862751960754, 
0.7786914110183716, 0.5341828465461731, 0.7949948310852051, 
0.763248860836029, 0.5120311975479126, 0.8313024044036865, 
0.7763136029243469, 0.5298593044281006, 0.8171123266220093, 
0.8056758046150208, 0.582362174987793, 0.7469184994697571, 
0.7828900814056396, 0.539550244808197, 0.8102517127990723, 
0.791878342628479, 0.5542070865631104, 0.7937241792678833, 

